"periode_data","jenis","kode_trayek","trayek","jumlah_penumpang"
"202101","Angkutan Umum Integrasi","3E","Puri Kembangan - Sentraland Cengkareng","24385"
"202101","Angkutan Umum Integrasi","1R","Senen - Tanah Abang","13518"
"202101","Angkutan Umum Integrasi","1Q","Rempoa - Blok M","29449"
"202101","Angkutan Umum Integrasi","1P","Senen - Bundaran Senayan","8793"
"202101","Angkutan Umum Integrasi","1N","Tanah Abang - Blok M","9987"
"202101","Angkutan Umum Integrasi","1M","Meruya - Blok M","29169"
"202101","Angkutan Umum Integrasi","1H","Tanah Abang - Stasiun Gondangdia","45597"
"202101","Angkutan Umum Integrasi","1F","Stasiun Palmerah - Bundaran Senayan","6090"
"202101","Angkutan Umum Integrasi","1E","Pondok Labu - Blok M","76707"
"202101","Angkutan Umum Integrasi","1C","Pesanggrahan - Blok M","18502"
"202101","Angkutan Umum Integrasi","1B","Stasiun Palmerah - Tosari","24996"
"202101","Angkutan Umum Integrasi","1A","Pantai Maju - Balai Kota","62721"
"202101","Angkutan Umum Integrasi","12B","Pluit - Senen","9506"
"202101","Angkutan Umum Integrasi","11Q","Kampung Melayu - Pulo Gebang via BKT","9436"
"202101","Angkutan Umum Integrasi","11D","Pulo Gebang - Pulo Gadung 2 via PIK","61434"
"202101","Angkutan Umum Integrasi","10K","Tanjung Priok - Senen via Taman BMW","41881"
"202102","Mikrotrans","JAK.88","Terminal Tanjung Priok - Ancol Barat","21344"
"202102","Mikrotrans","JAK.85","Bintara - Cipinang Indah","20729"
"202102","Mikrotrans","JAK.84","Terminal Kampung Melayu - Kapin Raya","31200"
"202102","Mikrotrans","JAK.80","Rawa Buaya - Rawa Kompeni","54914"
"202102","Mikrotrans","JA.77","Tanjung Priok - Jembatan Item","56920"
"202102","Mikrotrans","JAK.75","Cililitan - Kp. Pulo","43997"
"202102","Mikrotrans","JAK.74","Terminal Rawamangun - Cipinang Muara","35356"
"202102","Mikrotrans","JAK.73","Jambore Cibubur - Pasar Rebo","63940"
"202102","Mikrotrans","JAK.72","Kampung Rambutan - Pasar Rebo via Poncol","77250"
"202102","Mikrotrans","JAK.71","Kampung Rambutan - Pinang Ranti","57426"
"202102","Mikrotrans","JAK.64","Lenteng Agung - Aseli","37219"
